playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot
99222,2099222,,,1977.0,2.0,28.0,South Korea,,,,,,,,,Seong-heun,Hong,,,Hongpo,212.0,71.0,R,R,,,경희대,99222,,,,,Asian,
95114,2095114,,,1972.0,10.0,18.0,South Korea,,,,,,,,,Jae-hak,Sim,,,,216.0,72.0,L,L,,,고려대,95114,,,,,Asian,
70143,2070143,,,1969.0,7.0,21.0,United States,,,,,,,,,Denny,Harriger,,,,181.0,71.0,R,R,,,,70143,,,,,Caucasian,
91818,2091818,,,1967.0,10.0,7.0,South Korea,,,,,,,,,Kyu-je,Cho,,,,159.0,68.0,L,L,,,연세대,91818,,,,,Asian,
86111,2086111,,,1963.0,8.0,30.0,South Korea,,,,,,,,,Geon-woo,Kim,,,,176.0,69.0,R,R,,,한양대,86111,,,,,Asian,
68050,2068050,,,1999.0,7.0,29.0,South Korea,,,,,,,,,Baek-ho,Kang,,,,216.0,72.0,L,R,,,,68050,,,,,Asian,
64001,2064001,,,1991.0,9.0,16.0,South Korea,,,,,,,,,Yeong-pyo,Ko,,,,194.0,74.0,R,R,,,동국대,64001,,,,,Asian,
63432,2063432,,,1985.0,5.0,22.0,Netherlands,,,,,,,,,Rick,VandenHurk,,,,229.0,78.0,R,R,,,,63432,,,,,Caucasian,
87721,2087721,,,1963.0,8.0,28.0,South Korea,,,,,,,,,Jeong-hun,Lee,,,,176.0,67.0,L,L,,,동아대,87721,,,,,Asian,
69343,2069343,,,1989.0,7.0,29.0,United States,,,,,,,,,Eric,Jokisch,,,,205.0,74.0,R,L,,,,69343,,,,,Caucasian,
50404,2050404,,,1989.0,5.0,11.0,United States,,,,,,,,,David,Buchanan,,,,198.0,75.0,R,R,,,,50404,,,,,Caucasian,
93417,2093417,,,1970.0,9.0,3.0,South Korea,,,,,,,,,Chung-sik,Park,,,,174.0,72.0,R,R,,,경희대,93417,,,,,Asian,
98218,2098218,,,1976.0,2.0,3.0,South Korea,,,,,,,,,Dong-joo,Kim,,,Boss Bear,225.0,71.0,R,R,,,고려대,98218,,,,,Asian,
78168,2078168,,,1989.0,8.0,22.0,South Korea,,,,,,,,,Geon-chang,Seo,,,,185.0,69.0,L,R,,,,78168,,,,,Asian,
95549,2095549,,,1970.0,8.0,14.0,South Korea,,,,,,,,,Hae-young,Ma,,,Mapo,212.0,74.0,R,R,,,고려대,95549,,,,,Asian,
97575,2097575,,,1972.0,5.0,8.0,South Korea,,,,,,,,,Dong-hwan,Moon,,,,209.0,72.0,R,R,,,연세대,97575,,,,,Asian,
69737,2069737,,,2000.0,12.0,3.0,South Korea,,,,,,,,,Si-hwan,Roh,,,,231.0,73.0,R,R,,,,69737,,,,,Asian,
51863,2051863,,,1990.0,5.0,24.0,Venezuela,,,,,,,,,Wilmer,Font,,,,249.0,76.0,R,R,,,,51863,,,,,Hispanic,
74465,2074465,,,1985.0,6.0,22.0,South Korea,,,,,,,,,Sok-min,Park,,,,194.0,70.0,R,R,,,,74465,,,,,Asian,
87470,2087470,,,1963.0,4.0,28.0,South Korea,,,,,,,,,Jung-il,Ryu,,,,163.0,69.0,R,R,,,한양대,87470,,,,,Asian,
82993,2082993,,,1954.0,1.0,23.0,South Korea,,,,,,,,,Young-ho,Kwon,,,,179.0,72.0,L,L,,,영남대,82993,,,,,Asian,
51463,2051463,,,1989.0,11.0,21.0,Venezuela,,,,,,,,,Jose,Pirela,,,,218.0,72.0,R,R,,,,51463,,,,,Hispanic,
63810,2063810,,,1983.0,10.0,13.0,United States,,,,,,,,,Chris,Seddon,,,,220.0,76.0,L,L,,,,63810,,,,,Caucasian,
52528,2052528,,,1995.0,10.0,1.0,United States,,,,,,,,,Charlie,Barnes,,,,201.0,74.0,L,L,,,,52528,,,,,Caucasian,
68815,2068815,,,1989.0,11.0,28.0,Dominican Republic,,,,,,,,,Angel,Sanchez,,,,194.0,73.0,R,R,,,,68815,,,,,Hispanic,
64021,2064021,,,1995.0,11.0,30.0,South Korea,,,,,,,,,Se-woong,Park,,,,187.0,72.0,R,R,,,,64021,,,,,Asian,
86770,2086770,,,1962.0,7.0,19.0,South Korea,,,,,,,,,Hei-min,Han,,,,170.0,74.0,R,R,,,성균관대,86770,,,,,Asian,
75847,2075847,,,1987.0,2.0,28.0,South Korea,,,,,,,,,Jeong,Choi,,,,198.0,71.0,R,R,,,,75847,,,,,Asian,
74513,2074513,,,1985.0,7.0,31.0,South Korea,,,,,,,,,Won-jun,Jang,,,,187.0,72.0,L,L,,,,74513,,,,,Asian,
74454,2074454,,,1981.0,10.0,8.0,South Korea,,,,,,,,,Sung-hwan,Yun,,,,194.0,72.0,R,R,,,동의대,74454,,,,,Asian,
74339,2074339,,,1981.0,7.0,1.0,South Korea,,,,,,,,,Han-jun,Yoo,,,Infinite,214.0,73.0,R,R,,,동국대,74339,,,,,Asian,
86572,2086572,,,1961.0,7.0,4.0,South Korea,,,,,,,,,Hak-gil,Yoon,,,,209.0,74.0,R,R,,,연세대,86572,,,,,Asian,
83270,2083270,,,1960.0,7.0,8.0,South Korea,,,,,,,,,Dae-hwa,Han,,,Fixer,181.0,69.0,R,R,,,동국대,83270,,,,,Asian,
79109,2079109,,,1990.0,3.0,12.0,South Korea,,,,,,,,,Ji-hwan,Oh,,,,176.0,73.0,L,R,,,,79109,,,,,Asian,
89770,2089770,,,1966.0,2.0,16.0,South Korea,,,,,,,,,Jin-woo,Song,,,,176.0,71.0,L,L,,,동국대,89770,,,,,Asian,
96610,2096610,,,1977.0,10.0,18.0,South Korea,,,,,,,,,Seong-ho,Jang,,,Sniper,205.0,72.0,L,L,,,,96610,,,,,Asian,
74163,2074163,,,1985.0,8.0,26.0,South Korea,,,,,,,,,Yong-gyu,Lee,,,,163.0,67.0,L,L,,,,74163,,,,,Asian,
65546,2065546,,,1988.0,6.0,29.0,United States,,,,,,,,,Brooks,Raley,,,,185.0,75.0,L,L,,,,65546,,,,,Caucasian,
93453,2093453,,,1970.0,7.0,6.0,South Korea,,,,,,,,,Hyun-wook,Kim,,,,181.0,72.0,R,R,,,한양대,93453,,,,,Asian,
77446,2077446,,,1987.0,7.0,13.0,South Korea,,,,,,,,,Jung-hyun,Baek,,,,176.0,72.0,L,L,,,,77446,,,,,Asian,
82420,2082420,,,1958.0,9.0,19.0,South Korea,,,,,,,,,Man-soo,Lee,,,Hulk,181.0,69.0,R,R,,,한양대,82420,,,,,Asian,
70425,2070425,,,1981.0,5.0,4.0,South Korea,,,,,,,,,Young-soo,Bae,,,,220.0,73.0,R,R,,,,70425,,,,,Asian,
74540,2074540,,,1985.0,8.0,18.0,South Korea,,,,,,,,,Min-ho,Kang,,,,220.0,73.0,R,R,,,,74540,,,,,Asian,
69103,2069103,,,1989.0,10.0,4.0,United States,,,,,,,,,Casey,Kelly,,,,216.0,75.0,R,R,,,,69103,,,,,Caucasian,
61158,2061158,,,1983.0,10.0,6.0,Dominican Republic,,,,,,,,,Radhames,Liz,,,,192.0,73.0,R,R,,,,61158,,,,,Hispanic,
91514,2091514,,,1969.0,1.0,27.0,South Korea,,,,,,,,,Jung-tae,Park,,,,161.0,69.0,R,R,,,경성대,91514,,,,,Asian,
86110,2086110,,,1964.0,1.0,28.0,South Korea,,,,,,,,,Tae-won,Kim,,,,187.0,73.0,R,R,,,성균관대,86110,,,,,Asian,
65357,2065357,,,1996.0,8.0,29.0,South Korea,,,,,,,,,Sung-moon,Song,,,,194.0,72.0,L,R,,,,65357,,,,,Asian,
89351,2089351,,,1966.0,6.0,14.0,South Korea,,,,,,,,,Myeong-won,Chung,,,,196.0,74.0,R,R,,,원광대,89351,,,,,Asian,
99810,2099810,,,1980.0,6.0,15.0,South Korea,,,,,,,,,Jin-young,Lee,,,,198.0,73.0,L,L,,,,99810,,,,,Asian,
62937,2062937,,,1989.0,11.0,18.0,South Korea,,,,,,,,,Jae-young,Shin,,,,214.0,73.0,R,R,,,단국대,62937,,,,,Asian,
89620,2089620,,,1966.0,5.0,24.0,South Korea,,,,,,,,,Kang-chul,Lee,,,,172.0,71.0,R,R,,,동국대,89620,,,,,Asian,
82271,2082271,,,1953.0,4.0,3.0,South Korea,,,,,,,,,Hyeong-cheol,Kye,,,,165.0,72.0,R,R,,,성균관대,82271,,,,,Asian,
98233,2098233,,,1969.0,8.0,19.0,United States,,,,,,,,,Tyrone,Woods,,,Black Bear,220.0,72.0,R,R,,,,98233,,,,,Caucasian,
71432,2071432,,,1979.0,1.0,28.0,South Korea,,,,,,,,,Han-yi,Park,,,,201.0,72.0,L,L,,,동국대,71432,,,,,Asian,
69446,2069446,,,2000.0,4.0,6.0,South Korea,,,,,,,,,Tae-in,Won,,,,203.0,72.0,R,R,,,,69446,,,,,Asian,
85110,2085110,,,1960.0,5.0,2.0,South Korea,,,,,,,,,Yong-soo,Kim,,,,161.0,69.0,R,R,,,중앙대,85110,,,,,Asian,
79215,2079215,,,1990.0,9.0,8.0,South Korea,,,,,,,,,Geon-woo,Park,,,,176.0,72.0,R,R,,,,79215,,,,,Asian,
75620,2075620,,,1986.0,7.0,24.0,South Korea,,,,,,,,,Suk-min,Yoon,,,,198.0,73.0,R,R,,,,75620,,,,,Asian,
84210,2084210,,,1961.0,3.0,9.0,South Korea,,,,,,,,,Gwang-lim,Kim,,,,172.0,68.0,L,L,,,고려대,84210,,,,,Asian,
96307,2096307,,,1976.0,11.0,30.0,South Korea,,,,,,,,,Jin-man,Park,,,,181.0,70.0,R,R,,,,96307,,,,,Asian,
62698,2062698,,,1985.0,7.0,28.0,Dominican Republic,,,,,,,,,Henry,Sosa,,,,209.0,73.0,R,R,,,,62698,,,,,Hispanic,
67304,2067304,,,1999.0,1.0,27.0,South Korea,,,,,,,,,Hye-sung,Kim,,,Comet,176.0,70.0,L,R,,,,67304,,,,,Asian,
94545,2094545,,,1975.0,4.0,13.0,South Korea,,,,,,,,,Ji-chul,Park,,,,152.0,71.0,R,R,,,,94545,,,,,Asian,
89330,2089330,,,1964.0,9.0,27.0,South Korea,,,,,,,,,Eun-jin,Park,,,,,,R,R,,,,89330,,,,,Asian,
84573,2084573,,,1954.0,11.0,14.0,South Korea,,,,,,,,,Mun-jong,Hong,,,,,,L,L,,,일본 립명관대,84573,,,,,Asian,
90658,2090658,,,1967.0,7.0,17.0,South Korea,,,,,,,,,Ho-sung,Lee,,,,176.0,71.0,R,R,,,연세대,90658,,,,,Asian,
93219,2093219,,,1971.0,8.0,18.0,South Korea,,,,,,,,,Kyung-won,Kim,,,,220.0,72.0,R,R,,,중앙대,93219,,,,,Asian,
97133,2097133,,,1973.0,8.0,4.0,South Korea,,,,,,,,,Sun-dong,Im,,,,209.0,74.0,R,R,,,연세대,97133,,,,,Asian,
84410,2084410,,,1961.0,12.0,3.0,South Korea,,,,,,,,,Sung-rae,Kim,,,,198.0,73.0,R,R,,,연세대,84410,,,,,Asian,
75421,2075421,,,1982.0,7.0,15.0,South Korea,,,,,,,,,Seung-hwan,Oh,,,The Stone Buddah,205.0,70.0,R,R,,,단국대,75421,,,,,Asian,
90532,2090532,,,1968.0,1.0,4.0,South Korea,,,,,,,,,Dong-hee,Park,,,,216.0,73.0,R,R,,,고려대,90532,,,,,Asian,
76455,2076455,,,1987.0,5.0,31.0,South Korea,,,,,,,,,Woo-chan,Cha,,,,176.0,73.0,L,L,,,,76455,,,,,Asian,
94426,2094426,,,1972.0,2.0,11.0,South Korea,,,,,,,,,Ik-sung,Choi,,,,190.0,71.0,R,R,,,계명대,94426,,,,,Asian,
86672,2086672,,,1966.0,10.0,1.0,South Korea,,,,,,,,,Dong-soo,Shin,,,,176.0,69.0,L,L,,,,86672,,,,,Asian,
76355,2076355,,,1983.0,6.0,9.0,South Korea,,,,,,,,,Won-sam,Jang,,,,179.0,71.0,L,L,,,경성대,76355,,,,,Asian,
90419,2090419,,,1968.0,10.0,27.0,South Korea,,,,,,,,,Dong-soo,Kim,,,,187.0,71.0,R,R,,,한양대,90419,,,,,Asian,
68345,2068345,,,1987.0,9.0,28.0,United States,,,,,,,,,Jerry,Sands,,,,231.0,76.0,R,R,,,,68345,,,,,Caucasian,
76267,2076267,,,1988.0,2.0,28.0,South Korea,,,,,,,,,Joo-hwan,Choi,,,,161.0,70.0,L,R,,,,76267,,,,,Asian,
97571,2097571,,,1975.0,1.0,2.0,South Korea,,,,,,,,,Min-han,Son,,,,187.0,71.0,R,R,,,고려대,97571,,,,,Asian,
62404,2062404,,,1993.0,2.0,12.0,South Korea,,,,,,,,,Ja-wook,Koo,,,Lion King,165.0,74.0,L,R,,,,62404,,,,,Asian,
50854,2050854,,,1997.0,7.0,23.0,South Korea,,,,,,,,,Ji-hoon,Choi,,,,181.0,70.0,L,R,,,동국대,50854,,,,,Asian,
96251,2096251,,,1977.0,6.0,7.0,South Korea,,,,,,,,,Myung-hwan,Park,,,,203.0,73.0,R,R,,,,96251,,,,,Asian,
70756,2070756,,,1981.0,11.0,25.0,South Korea,,,,,,,,,Beom-ho,Lee,,,,209.0,72.0,R,R,,,,70756,,,,,Asian,
79229,2079229,,,1986.0,6.0,1.0,South Korea,,,,,,,,,Hee-gwan,Yoo,,,,194.0,71.0,L,L,,,중앙대,79229,,,,,Asian,
94107,2094107,,,1975.0,10.0,2.0,South Korea,,,,,,,,,Jae-hyun,Kim,,,Cannon,183.0,70.0,L,L,,,,94107,,,,,Asian,
99725,2099725,,,1969.0,10.0,3.0,United States,,,,,,,,,Jay,Davis,,,,185.0,72.0,L,L,,,,99725,,,,,Caucasian,
82571,2082571,,,1958.0,5.0,5.0,South Korea,,,,,,,,,Sang-soo,No,,,,179.0,70.0,R,R,,,고려대,82571,,,,,Asian,
83350,2083350,,,1956.0,12.0,15.0,South Korea,,,,,,,,,Gu-sun,Jung,,,,176.0,70.0,R,R,,,동국대,83350,,,,,Asian,
96761,2096761,,,1973.0,3.0,2.0,South Korea,,,,,,,,,Ji-man,Song,,,Golden Eagle,187.0,70.0,R,R,,,인하대,96761,,,,,Asian,
77532,2077532,,,1988.0,3.0,18.0,South Korea,,,,,,,,,Ah-sub,Son,,,,185.0,69.0,L,R,,,,77532,,,,,Asian,
66138,2066138,,,1984.0,8.0,22.0,United States,,,,,,,,,David,Huff,,,,194.0,72.0,L,L,,,,66138,,,,,Caucasian,
65331,2065331,,,1985.0,8.0,22.0,United States,,,,,,,,,Ryan,Feierabend,,,,225.0,75.0,L,L,,,,65331,,,,,Caucasian,
95235,2095235,,,1972.0,10.0,13.0,South Korea,,,,,,,,,Pil-jung,Jin,,,,201.0,71.0,R,R,,,중앙대,95235,,,,,Asian,
72133,2072133,,,1979.0,4.0,21.0,South Korea,,,,,,,,,Yong-taik,Park,,,,198.0,73.0,L,R,,,고려대,72133,,,,,Asian,
67872,2067872,,,1985.0,9.0,30.0,Canada,,,,,,,,,Jamie,Romak,,,,220.0,74.0,R,R,,,,67872,,,,,Caucasian,
92411,2092411,,,1970.0,1.0,2.0,South Korea,,,,,,,,,Bong-chul,Dong,,,,187.0,71.0,L,L,,,중앙대,92411,,,,,Asian,
96734,2096734,,,1973.0,11.0,27.0,South Korea,,,,,,,,,Young-woo,Lee,,,,190.0,71.0,L,L,,,건국대,96734,,,,,Asian,
66226,2066226,,,1986.0,9.0,9.0,United States,,,,,,,,,Michael,Bowdent,,,,223.0,75.0,R,R,,,,66226,,,,,Caucasian,
94528,2094528,,,1976.0,3.0,1.0,South Korea,,,,,,,,,Hyung-kwang,Joo,,,,203.0,73.0,L,L,,,,94528,,,,,Asian,
65933,2065933,,,1997.0,2.0,17.0,South Korea,,,,,,,,,Chang-mo,Koo,,,,187.0,72.0,L,L,,,,65933,,,,,Asian,
50030,2050030,,,2001.0,9.0,16.0,South Korea,,,,,,,,,Hyung-jun,So,,,,203.0,74.0,R,R,,,,50030,,,,,Asian,
89221,2089221,,,1966.0,7.0,29.0,South Korea,,,,,,,,,Myong-soo,Lee,,,,183.0,71.0,R,R,,,고려대,89221,,,,,Asian,
67893,2067893,,,1998.0,3.0,30.0,South Korea,,,,,,,,,Sung-han,Park,,,,170.0,71.0,L,R,,,,67893,,,,,Asian,
70820,2070820,,,1981.0,9.0,9.0,South Korea,,,,,,,,,Seung-ho,Lee,,,,190.0,69.0,L,L,,,,70820,,,,,Asian,
70646,2070646,,,1980.0,11.0,12.0,South Korea,,,,,,,,,Sang-hyeon,Kim,,,,209.0,75.0,R,R,,,,70646,,,,,Asian,
78603,2078603,,,1989.0,12.0,18.0,South Korea,,,,,,,,,Sun-bin,Kim,,,Little Giant,170.0,65.0,R,R,,,,78603,,,,,Asian,
93715,2093715,,,1969.0,8.0,2.0,South Korea,,,,,,,,,Das-sung,Koo,,,,187.0,72.0,L,L,,,한양대,93715,,,,,Asian,
68240,2068240,,,1988.0,8.0,27.0,United States,,,,,,,,,Seth,Frankoff,,,,209.0,77.0,R,R,,,,68240,,,,,Caucasian,
73342,2073342,,,1980.0,7.0,10.0,South Korea,,,,,,,,,Taek-geun,Lee,,,,196.0,72.0,R,R,,,고려대,73342,,,,,Asian,
77147,2077147,,,1980.0,7.0,15.0,South Korea,,,,,,,,,Jung-keun,Bong,,,,216.0,75.0,L,L,,,,77147,,,,,Asian,
89175,2089175,,,1965.0,1.0,15.0,South Korea,,,,,,,,,Chan-yeup,Noh,,,Swordsman,170.0,69.0,R,R,,,고려대,89175,,,,,Asian,
91511,2091511,,,1969.0,2.0,15.0,South Korea,,,,,,,,,Jun-ho,Jeon,,,Big Thief,159.0,71.0,L,L,,,영남대,91511,,,,,Asian,
62907,2062907,,,1993.0,2.0,6.0,South Korea,,,,,,,,,Min-woo,Park,,,,176.0,73.0,L,R,,,,62907,,,,,Asian,
77211,2077211,,,1989.0,1.0,2.0,South Korea,,,,,,,,,Yong-chan,Lee,,,,187.0,73.0,R,R,,,,77211,,,,,Asian,
78513,2078513,,,1986.0,2.0,25.0,South Korea,,,,,,,,,Jun-woo,Jeon,,,,216.0,72.0,R,R,,,건국대,78513,,,,,Asian,
72606,2072606,,,1980.0,2.0,21.0,South Korea,,,,,,,,,Hyun-gon,Lee,,,,183.0,72.0,R,R,,,연세대,72606,,,,,Asian,
69209,2069209,,,1988.0,4.0,27.0,Cuba,,,,,,,,,Jose miguel,Fernendez,,,,183.0,70.0,L,R,,,,69209,,,,,Hispanic,
96616,2096616,,,1973.0,9.0,14.0,South Korea,,,,,,,,,Jong-guk,Kim,,,,176.0,71.0,R,R,,,고려대,96616,,,,,Asian,
73117,2073117,,,1985.0,1.0,21.0,South Korea,,,,,,,,,Kyu-min,Woo,,,,165.0,72.0,R,R,,,,73117,,,,,Asian,
